amount,category,description,date,payment method
450,Transport,Cab,16/07/2025,UPI
800,Entertainment,Bowling,23/07/2025,Card
350,Food,Dinner,02/08/2025,Cash
400,Food,Groceries,05/09/2025,UPI
350,Transport,Bus Pass,19/09/2025,Cash
500,Food,Restaurant,04/10/2025,Card
450,Transport,Cab,18/10/2025,Cash
300,Food,Breakfast,03/11/2025,UPI
400,Transport,Metro,17/11/2025,UPI
600,Food,Groceries,02/12/2025,UPI
500,Transport,Fuel,16/12/2025,UPI
100,Transport,Metro,02/06/2026,Cash
150,Food,Coffee,03/06/2026,UPI
250,Food,Lunch,04/06/2026,Card
600,Entertainment,Movie,05/06/2026,UPI
4000.0,Shopping,shoes,15/06/2026,UPI
60.0,Transport,auto,15/06/2026,UPI
1000.0,Food,dinner,14/06/2026,Cash
400.0,Entertainment,bowling,15/06/2026,Cash
400.0,Entertainment,bowling,15/06/2026,Cash
400.0,Entertainment,bowling,15/06/2026,Cash
300.0,Entertainment,snooker,15/06/2026,Cash
1000.0,Shopping,tee,14/06/2026,UPI
300.0,Transport,cab,16/06/2026,UPI
300.0,Shopping,hat,15/06/2026,UPI
40.0,Food & Drinks,Diet Coke,15/06/2026,UPI
300.0,Food & Drinks,drinks for Lonavala,16/06/2026,UPI
40.0,Food & Drinks,Coke Zero sugar ,24/06/2026,Cash
285.0,Food & Drinks,lunch,16/06/2026,Cash
200.0,Food & Drinks,dinner,16/06/2026,UPI
500.0,Food & Drinks,lunch,17/06/2026,Cash
600.0,Services,villa and travel (one way),17/06/2026,Cash
85.0,Transport,travel (return),17/06/2026,Cash
100.0,Transport,cab,17/06/2026,Cash
460.0,Food & Drinks,chikki ,17/06/2026,Cash
200.0,Transport,uber,17/06/2026,Cash
706.0,Services,Jio air fiber ,08/07/2026,UPI
600.0,Entertainment,movie ,24/07/2026,UPI
200.0,Food & Drinks,coffee,30/07/2026,UPI
60.0,Transport,auto,03/08/2026,Cash
50.0,Transport,auto,03/08/2026,Cash
